name,description
Women's Campside Oxfords,"This ultracomfortable lace-to-toe Oxford boasts a super-soft canvas, thick cushioning, and quality construction for a broken-in feel from the first time you put them on. Size & Fit: Order regular shoe size. For half sizes not offered, order up to next whole size. Specs: Approx. weight: 1 lb.1 oz. per pair. Construction: Soft canvas material for a broken-in feel and look. Comfortable EVA innersole with Cleansport NXT® antimicrobial odor control. Vintage hunt, fish and camping motif on innersole. Moderate arch contour of innersole. EVA foam midsole for cushioning and support. Chain-tread-inspired molded rubber outsole with modified chain-tread pattern. Imported. Questions? Please contact us for any inquiries."
"Recycled Waterhog Dog Mat, Chevron Weave","Protect your floors from spills and splashing with our ultradurable recycled Waterhog dog mat made right here in the USA. Specs Small - Dimensions: 18"" x 28"". Medium - Dimensions: 22.5"" x 34.5"". Why We Love It Mother nature, wet shoes and muddy paws have met their match with our Recycled Waterhog mats. Ruggedly constructed from recycled plastic materials, these ultratough mats help keep dirt and water off your floors and plastic out of landfills, trails and oceans. Now, that's a win-win for everyone. Fabric & Care Vacuum or hose clean. Construction 24 oz. polyester fabric made from 94% recycled materials. Rubber backing. Additional Features Features an -exclusive design. Features thick and thin fibers for scraping dirt and absorbing water. Dries quickly and resists fading, rotting, mildew and shedding. Use indoors or out. Made in the USA. Have questions? Reach out to our customer service team with any questions you may have."
